Step,AgentID,Energy,Temp,Valence,Beta,Alive,X,Y
1,1,88.32441819921277,10.523732403004935,0.0,6.0,True,30,37
1,2,89.14607051475815,9.833264921727832,0.0,6.0,True,69,9
1,3,72.99452192894726,10.50373717361947,0.0,6.0,True,46,37
1,4,85.92066075474715,9.888068170616094,0.0,6.0,True,61,38
1,5,58.27176611815097,9.631614647254345,0.0,6.0,True,8,38
1,6,75.40365528048491,9.240995110474959,0.0,6.0,True,2,30
1,7,86.80830096774469,10.793323812548369,0.0,6.0,True,32,35
1,8,40.503353831528095,11.057490193052748,0.0,6.0,True,30,11
1,9,55.134872061686664,10.037033733895495,0.0,6.0,True,61,33
1,10,49.09512773831354,9.529140131316877,0.0,6.0,True,70,30
2,1,88.17441819921277,10.995091565709377,0.18854366508177664,6.976828202814048,True,30,36
2,2,98.99607051475815,9.71931392479645,-0.045580398772552405,5.785154979705809,True,68,9
2,3,72.84452192894726,11.082344132133642,0.2314427834056687,7.22042413726295,True,45,37
2,4,85.77066075474714,9.68167056009879,-0.08255904420692205,5.616519881114248,True,60,38
2,5,58.12176611815097,9.300067829783256,-0.13261872698843577,5.3960353400942624,True,9,39
2,6,75.2536552804849,8.610887651062983,-0.252042983764791,4.904362338472925,True,3,31
2,7,86.65830096774468,11.475469384774804,0.27285822889057415,7.4636610584653305,True,33,35
2,8,40.353353831528096,12.022734612466975,0.14609776776569278,6.743895217539692,True,31,10
2,9,54.984872061686666,10.046542311006746,0.0038034308445006105,6.018284271131156,True,62,32
2,10,48.945127738313545,9.105366249502065,-0.40950955272592326,4.323874291344368,True,70,29
3,1,88.02441819921276,11.510272292079419,0.3191984895970829,7.745548265005507,True,29,35
3,2,100.0,9.773120753533465,-0.005825507768725514,5.972102619765044,True,67,9
3,3,72.69452192894725,11.633233715007922,0.3592215031931133,7.997561412566517,True,46,36
3,4,85.62066075474714,9.551246242348833,-0.10170515362413554,5.531147764387711,True,59,37
3,5,57.971766118150974,9.024513198617496,-0.18979308865936517,5.154782880259586,True,8,39
3,6,75.1036552804849,8.106927380509463,-0.3528098984802827,4.5245202545793894,True,4,30
3,7,86.50830096774467,12.121246258845694,0.4220256869627005,8.409651369106676,True,34,36
3,8,40.2033538315281,12.891354769581326,0.1951067235051579,7.013556002001266,True,31,11
3,9,54.83487206168667,10.025337618135001,-0.006199818641997583,5.970314549138617,True,62,33
3,10,48.795127738313546,8.741248789244926,-0.6313527157384067,3.620735915087223,True,71,28
4,1,87.87441819921276,12.042292870906019,0.4043273252888898,8.291420698708386,True,30,34
4,2,100.0,9.996385537368429,0.0858106088727501,6.4263579101019355,True,66,10
4,3,72.54452192894725,12.190995123807435,0.43863746543567306,8.522156691183895,True,45,35
4,4,85.47066075474713,9.5438310495723,-0.06398916928509431,5.700581195697558,True,58,37
4,5,57.821766118150975,8.679102888864106,-0.2520399770969745,4.904374135117836,True,9,38
4,6,74.9536552804849,7.738579624878719,-0.35902504134046714,4.5020796576121915,True,5,30
4,7,86.35830096774467,12.641084647274772,0.4611507675492512,8.677036759807475,True,34,35
4,8,40.0533538315281,13.739786148055567,0.21643658549279235,7.134261470782505,True,32,10
